date,feesUSD,revenueUSD,lp_fees
2021-05-05,58451,,58451.0
2021-05-06,640441,,640441.0
2021-05-07,1082469,,1082469.0
2021-05-08,2895458,,2895458.0
2021-05-09,1870221,,1870221.0
2021-05-10,3004460,,3004460.0
2021-05-11,2393415,,2393415.0
2021-05-12,4351017,,4351017.0
2021-05-13,4912513,,4912513.0
2021-05-14,2616857,,2616857.0
2021-05-15,2789162,,2789162.0
2021-05-16,3644630,,3644630.0
2021-05-17,4107957,,4107957.0
2021-05-18,3198769,,3198769.0
2021-05-19,7152405,,7152405.0
2021-05-20,5073565,,5073565.0
2021-05-21,4585562,,4585562.0
2021-05-22,3235375,,3235375.0
2021-05-23,5142800,,5142800.0
2021-05-24,4618386,,4618386.0
2021-05-25,4219854,,4219854.0
2021-05-26,4195720,,4195720.0
2021-05-27,3061528,,3061528.0
2021-05-28,3807301,,3807301.0
2021-05-29,3709489,,3709489.0
2021-05-30,2990706,,2990706.0
2021-05-31,2875613,,2875613.0
2021-06-01,2444768,,2444768.0
2021-06-02,1964883,,1964883.0
2021-06-03,2101881,,2101881.0
2021-06-04,3121179,,3121179.0
2021-06-05,2096632,,2096632.0
2021-06-06,1265770,,1265770.0
2021-06-07,2198514,,2198514.0
2021-06-08,3345510,,3345510.0
2021-06-09,3027443,,3027443.0
2021-06-10,2192716,,2192716.0
2021-06-11,2108189,,2108189.0
2021-06-12,1732097,,1732097.0
2021-06-13,1773489,,1773489.0
2021-06-14,1769339,,1769339.0
2021-06-15,1750056,,1750056.0
2021-06-16,1648387,,1648387.0
2021-06-17,1416032,,1416032.0
2021-06-18,1734451,,1734451.0
2021-06-19,1260644,,1260644.0
2021-06-20,1745798,,1745798.0
2021-06-21,3405595,,3405595.0
2021-06-22,2938819,,2938819.0
2021-06-23,1874710,,1874710.0
2021-06-24,1378093,,1378093.0
2021-06-25,1872987,,1872987.0
2021-06-26,1580041,,1580041.0
2021-06-27,1569500,,1569500.0
2021-06-28,1972742,,1972742.0
2021-06-29,1661558,,1661558.0
2021-06-30,1798758,,1798758.0
2021-07-01,1495698,,1495698.0
2021-07-02,1185346,,1185346.0
2021-07-03,1134707,,1134707.0
2021-07-04,1428005,,1428005.0
2021-07-05,1546739,,1546739.0
2021-07-06,2056013,,2056013.0
2021-07-07,1423232,,1423232.0
2021-07-08,1721689,,1721689.0
2021-07-09,1358956,,1358956.0
2021-07-10,1450347,,1450347.0
2021-07-11,945313,,945313.0
2021-07-12,1152695,,1152695.0
2021-07-13,1919238,,1919238.0
2021-07-14,2316401,,2316401.0
2021-07-15,1952152,,1952152.0
2021-07-16,1559541,,1559541.0
2021-07-17,1385032,,1385032.0
2021-07-18,1389738,,1389738.0
2021-07-19,1156060,,1156060.0
2021-07-20,1479643,,1479643.0
2021-07-21,1857692,,1857692.0
2021-07-22,1450375,,1450375.0
2021-07-23,1307864,,1307864.0
2021-07-24,1260441,,1260441.0
2021-07-25,994160,,994160.0
2021-07-26,3084009,,3084009.0
2021-07-27,1920965,,1920965.0
