date,lpRevenueUSD
2022-11-14,1873694
2022-11-15,1419935
2022-11-16,1267497
2022-11-17,959767
2022-11-18,610020
2022-11-19,456153
2022-11-20,1040953
2022-11-21,1572601
2022-11-22,1486737
2022-11-23,988385
2022-11-24,773994
2022-11-25,764387
2022-11-26,680995
2022-11-27,493543
2022-11-28,859103
2022-11-29,699677
2022-11-30,1268915
2022-12-01,754405
2022-12-02,735969
2022-12-03,517112
2022-12-04,473350
2022-12-05,708094
2022-12-06,620690
2022-12-07,684356
2022-12-08,692521
2022-12-09,546460
2022-12-10,327448
2022-12-11,404208
2022-12-12,651159
2022-12-13,1226432
2022-12-14,888876
2022-12-15,630486
2022-12-16,1244741
2022-12-17,579305
2022-12-18,399276
2022-12-19,595090
2022-12-20,703740
2022-12-21,376675
2022-12-22,540753
2022-12-23,385659
2022-12-24,172755
2022-12-25,316532
2022-12-26,275066
2022-12-27,479100
2022-12-28,554216
2022-12-29,446638
2022-12-30,346627
2022-12-31,341069
2023-01-01,295136
2023-01-02,456184
2023-01-03,291391
2023-01-04,742203
2023-01-05,414754
2023-01-06,551107
2023-01-07,286755
2023-01-08,589998
2023-01-09,1128651
2023-01-10,690201
2023-01-11,740286
2023-01-12,1541442
2023-01-13,1295512
2023-01-14,2106571
2023-01-15,1078165
2023-01-16,1317325
2023-01-17,1046244
2023-01-18,1945585
2023-01-19,858191
2023-01-20,1062814
2023-01-21,1392664
2023-01-22,1175225
2023-01-23,1236740
2023-01-24,1353340
2023-01-25,1742735
2023-01-26,1289333
2023-01-27,1220012
2023-01-28,854042
2023-01-29,1151929
2023-01-30,1289754
2023-01-31,901167
2023-02-01,1715150
2023-02-02,1970425
2023-02-03,1541288
2023-02-04,1333220
2023-02-05,1419818
2023-02-06,1471623
2023-02-07,1920876
2023-02-08,1852914
2023-02-09,2833103
2023-02-10,1805524
2023-02-11,919832
2023-02-12,1018354
2023-02-13,1642237
2023-02-14,2841249
2023-02-15,2449673
2023-02-16,3251126
2023-02-17,2704123
2023-02-18,1483839
2023-02-19,2593323
2023-02-20,1674496
2023-02-21,2080875
2023-02-22,1903324
2023-02-23,1639863
2023-02-24,1851474
