date,feesUSD
2021-05-05,58451
2021-05-06,640441
2021-05-07,1082469
2021-05-08,2895458
2021-05-09,1870221
2021-05-10,3004460
2021-05-11,2393415
2021-05-12,4351017
2021-05-13,4912513
2021-05-14,2616857
2021-05-15,2789162
2021-05-16,3644630
2021-05-17,4107957
2021-05-18,3198769
2021-05-19,7152405
2021-05-20,5073565
2021-05-21,4585562
2021-05-22,3235375
2021-05-23,5142800
2021-05-24,4618386
2021-05-25,4219854
2021-05-26,4195720
2021-05-27,3061528
2021-05-28,3807301
2021-05-29,3709489
2021-05-30,2990706
2021-05-31,2875613
2021-06-01,2444768
2021-06-02,1964883
2021-06-03,2101881
2021-06-04,3121179
2021-06-05,2096632
2021-06-06,1265770
2021-06-07,2198514
2021-06-08,3345510
2021-06-09,3027443
2021-06-10,2192716
2021-06-11,2108189
2021-06-12,1732097
2021-06-13,1773489
2021-06-14,1769339
2021-06-15,1750056
2021-06-16,1648387
2021-06-17,1416032
2021-06-18,1734451
2021-06-19,1260644
2021-06-20,1745798
2021-06-21,3405595
2021-06-22,2938819
2021-06-23,1874710
2021-06-24,1378093
2021-06-25,1872987
2021-06-26,1580041
2021-06-27,1569500
2021-06-28,1972742
2021-06-29,1661558
2021-06-30,1798758
2021-07-01,1495698
2021-07-02,1185346
2021-07-03,1134707
2021-07-04,1428005
2021-07-05,1546739
2021-07-06,2056013
2021-07-07,1423232
2021-07-08,1721689
2021-07-09,1358956
2021-07-10,1450347
2021-07-11,945313
2021-07-12,1152695
2021-07-13,1919238
2021-07-14,2316401
2021-07-15,1952152
2021-07-16,1559541
2021-07-17,1385032
2021-07-18,1389738
2021-07-19,1156060
2021-07-20,1479643
2021-07-21,1857692
2021-07-22,1450375
2021-07-23,1307864
2021-07-24,1260441
2021-07-25,994160
2021-07-26,3084009
2021-07-27,1920965
2021-07-28,1999399
2021-07-29,1489242
2021-07-30,1791244
2021-07-31,1323083
2021-08-01,1832438
2021-08-02,1782533
2021-08-03,2090684
2021-08-04,2334080
2021-08-05,2707160
2021-08-06,2208948
2021-08-07,3168748
2021-08-08,2531216
2021-08-09,3623956
2021-08-10,2351020
2021-08-11,2241106
2021-08-12,2496447
2021-08-13,1887501
2021-08-14,1607098
2021-08-15,1854497
2021-08-16,2151421
2021-08-17,3056122
2021-08-18,2956641
2021-08-19,2169527
2021-08-20,2047582
2021-08-21,1626437
2021-08-22,2638192
2021-08-23,2314486
2021-08-24,2455975
2021-08-25,2414079
2021-08-26,2135327
2021-08-27,1735351
2021-08-28,1134599
2021-08-29,1881880
2021-08-30,2345943
2021-08-31,2914120
2021-09-01,2934940
2021-09-02,2986701
2021-09-03,5116787
2021-09-04,3486562
2021-09-05,3249542
2021-09-06,3692399
2021-09-07,5733509
2021-09-08,4762066
2021-09-09,3149495
2021-09-10,3092049
2021-09-11,2150056
2021-09-12,1933206
2021-09-13,2578951
2021-09-14,1981299
2021-09-15,2262101
2021-09-16,2900513
2021-09-17,2335003
2021-09-18,1608633
2021-09-19,1529043
2021-09-20,4152430
2021-09-21,3724155
2021-09-22,2371950
2021-09-23,1904431
2021-09-24,2847805
2021-09-25,1830182
2021-09-26,2918401
2021-09-27,2235628
2021-09-28,2219147
2021-09-29,1805573
2021-09-30,1924243
2021-10-01,2262176
2021-10-02,1931571
2021-10-03,1929692
2021-10-04,2508041
2021-10-05,2513971
2021-10-06,2911583
2021-10-07,3536431
2021-10-08,2857749
2021-10-09,2138252
2021-10-10,2309055
2021-10-11,3306706
2021-10-12,2761255
2021-10-13,2515549
2021-10-14,2638316
2021-10-15,3718508
2021-10-16,2349908
2021-10-17,2442753
2021-10-18,2597011
2021-10-19,2427336
2021-10-20,3059749
2021-10-21,4205481
2021-10-22,3011409
2021-10-23,2315433
2021-10-24,2455258
2021-10-25,2263226
2021-10-26,3441817
2021-10-27,5220720
