date,totalLiquidityUSD
2021-05-06 00:00:00,139686730
2021-05-07 00:00:00,372656653
2021-05-08 00:00:00,504876139
2021-05-09 00:00:00,566952033
2021-05-10 00:00:00,613204309
2021-05-11 00:00:00,598865064
2021-05-12 00:00:00,741163453
2021-05-13 00:00:00,866563488
2021-05-14 00:00:00,912235199
2021-05-15 00:00:00,975215012
2021-05-16 00:00:00,965159223
2021-05-17 00:00:00,973668967
2021-05-18 00:00:00,975205798
2021-05-19 00:00:00,1073811846
2021-05-20 00:00:00,827884937
2021-05-21 00:00:00,1004326599
2021-05-22 00:00:00,900498715
2021-05-23 00:00:00,925239595
2021-05-24 00:00:00,869107504
2021-05-25 00:00:00,1234628937
2021-05-26 00:00:00,1406298771
2021-05-27 00:00:00,1532395537
2021-05-28 00:00:00,1507459895
2021-05-29 00:00:00,1505744250
2021-05-30 00:00:00,1479217746
2021-05-31 00:00:00,1570967805
2021-06-01 00:00:00,1729984308
2021-06-02 00:00:00,1721968783
2021-06-03 00:00:00,1764040296
2021-06-04 00:00:00,1830731569
2021-06-05 00:00:00,1772040655
2021-06-06 00:00:00,1736720171
2021-06-07 00:00:00,1788002282
2021-06-08 00:00:00,1663844729
2021-06-09 00:00:00,1698260293
2021-06-10 00:00:00,1757131839
2021-06-11 00:00:00,1718742739
2021-06-12 00:00:00,1626465840
2021-06-13 00:00:00,1604866369
2021-06-14 00:00:00,1706217725
2021-06-15 00:00:00,1724347689
2021-06-16 00:00:00,1728282855
2021-06-17 00:00:00,1658369440
2021-06-18 00:00:00,1671027137
2021-06-19 00:00:00,1625533827
2021-06-20 00:00:00,1611485030
2021-06-21 00:00:00,1661331979
2021-06-22 00:00:00,1419003617
2021-06-23 00:00:00,1435108526
2021-06-24 00:00:00,1506812759
2021-06-25 00:00:00,1458883719
2021-06-26 00:00:00,1405450419
2021-06-27 00:00:00,1360761842
2021-06-28 00:00:00,1467021519
2021-06-29 00:00:00,1514449842
2021-06-30 00:00:00,1593192655
2021-07-01 00:00:00,1614836449
2021-07-02 00:00:00,1581465482
2021-07-03 00:00:00,1602442421
2021-07-04 00:00:00,1621263629
2021-07-05 00:00:00,1641695118
2021-07-06 00:00:00,1615030873
2021-07-07 00:00:00,1631431581
2021-07-08 00:00:00,1611867249
2021-07-09 00:00:00,1559066585
2021-07-10 00:00:00,1594613243
2021-07-12 00:00:00,1592243506
2021-07-14 00:00:00,1502570190
2021-07-15 00:00:00,1499464405
2021-07-16 00:00:00,1468297064
2021-07-17 00:00:00,1486459504
2021-07-18 00:00:00,1510156403
2021-07-19 00:00:00,1518040686
2021-07-20 00:00:00,1475740544
2021-07-21 00:00:00,1458607850
2021-07-22 00:00:00,1556665161
2021-07-23 00:00:00,1604827322
2021-07-24 00:00:00,1660492404
2021-07-25 00:00:00,1619617290
2021-07-26 00:00:00,1631921233
2021-07-27 00:00:00,1660738067
2021-07-28 00:00:00,1697684997
2021-07-29 00:00:00,1750174806
